Subject,Stim,Condition,StimSoundIn1.Filename,SubTrialList.Cycle,SubTrialList.Sample,SubTrialList,phonetic_cons,semantic_trans,frequency,correctRT,log_F(base10),PhonN,,
1,桿,plsl,behavioral_naming-1-1Stim-62.wav,1,22,22,inconsistent,opaque,50450,765,4.702861171,6,,
1,噹,phsh,behavioral_naming-1-1Stim-63.wav,1,23,23,consistent,transparent,144,803,2.158362492,5,,
1,酷,plsh,behavioral_naming-1-1Stim-64.wav,1,24,24,inconsistent,transparent,2400,602,3.380211242,9,,
1,辭,plsh,behavioral_naming-1-1Stim-66.wav,1,26,26,inconsistent,transparent,4095,699,3.612253906,5,,
1,溜,phsh,behavioral_naming-1-1Stim-67.wav,1,27,27,consistent,transparent,776,581,2.889861721,5,,
1,煎,phsh,behavioral_naming-1-1Stim-68.wav,1,28,28,consistent,transparent,308,867,2.488550717,4,,
1,誌,phsl,behavioral_naming-1-1Stim-69.wav,1,29,29,consistent,opaque,404,629,2.606381365,3,,
1,顫,plsh,behavioral_naming-1-1Stim-70.wav,1,30,30,inconsistent,transparent,118,710,2.071882007,7,,
1,饌,plsl,behavioral_naming-1-1Stim-71.wav,1,31,31,inconsistent,opaque,20,737,1.301029996,3,,
1,尊,plsh,behavioral_naming-1-1Stim-73.wav,1,33,33,inconsistent,transparent,5764,592,3.760723972,5,,
1,摺,phsl,behavioral_naming-1-1Stim-74.wav,1,34,34,consistent,opaque,143,605,2.155336037,3,,
1,攤,phsh,behavioral_naming-1-1Stim-75.wav,1,35,35,consistent,transparent,3478,1010,3.541329578,3,,
1,醒,phsh,behavioral_naming-1-1Stim-76.wav,1,36,36,consistent,transparent,1483,552,3.171141151,4,,
1,誓,plsl,behavioral_naming-1-1Stim-77.wav,1,37,37,inconsistent,opaque,1049,544,3.020775488,6,,
1,淨,plsl,behavioral_naming-1-1Stim-78.wav,1,38,38,inconsistent,opaque,9021,655,3.955254683,10,,
1,爺,phsh,behavioral_naming-1-1Stim-79.wav,1,39,39,consistent,transparent,97,672,1.986771734,3,,
1,錦,plsl,behavioral_naming-1-1Stim-80.wav,1,40,40,inconsistent,opaque,1059,545,3.02489596,4,,
1,廟,plsh,behavioral_naming-1-1Stim-81.wav,2,41,1,inconsistent,transparent,3207,627,3.50609896,3,,
1,淘,phsl,behavioral_naming-1-1Stim-82.wav,2,42,2,consistent,opaque,200,477,2.301029996,5,,
1,館,phsl,behavioral_naming-1-1Stim-83.wav,2,43,3,consistent,opaque,7111,569,3.851930679,8,,
1,批,phsl,behavioral_naming-1-1Stim-84.wav,2,44,4,consistent,opaque,239027,539,5.378446961,10,,
1,釋,plsl,behavioral_naming-1-1Stim-85.wav,2,45,5,inconsistent,opaque,1684,465,3.226342087,7,,
1,餵,phsh,behavioral_naming-1-1Stim-86.wav,2,46,6,consistent,transparent,1908,504,3.28057837,5,,
1,絹,phsh,behavioral_naming-1-1Stim-87.wav,2,47,7,consistent,transparent,139,603,2.1430148,6,,
1,倫,phsl,behavioral_naming-1-1Stim-88.wav,2,48,8,consistent,opaque,2581,546,3.411788005,8,,
1,楠,phsl,behavioral_naming-1-1Stim-89.wav,2,49,9,consistent,opaque,634,690,2.802089258,3,,
1,詩,plsh,behavioral_naming-1-1Stim-90.wav,2,50,10,inconsistent,transparent,6937,455,3.841171694,10,,
1,磷,phsl,behavioral_naming-1-1Stim-91.wav,2,51,11,consistent,opaque,1988,641,3.29841638,8,,
1,狐,plsh,behavioral_naming-1-1Stim-92.wav,2,52,12,inconsistent,transparent,578,850,2.761927838,5,,
1,遺,plsl,behavioral_naming-1-1Stim-93.wav,2,53,13,inconsistent,opaque,1736,650,3.239549721,5,,
1,鋰,phsl,behavioral_naming-1-1Stim-94.wav,2,54,14,consistent,opaque,1369,572,3.136403448,10,,
1,謝,phsl,behavioral_naming-1-1Stim-96.wav,2,56,16,consistent,opaque,8824,540,3.945665499,3,,
1,偶,plsl,behavioral_naming-1-1Stim-97.wav,2,57,17,inconsistent,opaque,2552,523,3.40688067,9,,
1,腋,phsh,behavioral_naming-1-1Stim-98.wav,2,58,18,consistent,transparent,405,876,2.607455023,3,,
1,紐,phsl,behavioral_naming-1-1Stim-99.wav,2,59,19,consistent,opaque,1644,917,3.215901813,6,,
1,憶,phsl,behavioral_naming-1-1Stim-100.wav,2,60,20,consistent,opaque,850,650,2.929418926,5,,
1,喧,phsh,behavioral_naming-1-1Stim-101.wav,2,61,21,consistent,transparent,43,487,1.633468456,5,,
1,詐,plsl,behavioral_naming-1-1Stim-102.wav,2,62,22,inconsistent,opaque,448,594,2.651278014,11,,
1,顱,phsl,behavioral_naming-1-1Stim-103.wav,2,63,23,consistent,opaque,760,670,2.880813592,9,,
1,拌,plsh,behavioral_naming-1-1Stim-104.wav,2,64,24,inconsistent,transparent,702,685,2.846337112,8,,
1,野,plsl,behavioral_naming-1-1Stim-105.wav,2,65,25,inconsistent,opaque,3134,666,3.496098992,9,,
1,敏,plsh,behavioral_naming-1-1Stim-107.wav,2,67,27,inconsistent,transparent,1610,428,3.206825876,10,,
1,輻,phsh,behavioral_naming-1-1Stim-108.wav,2,68,28,consistent,transparent,79,459,1.897627091,9,,
1,搏,plsl,behavioral_naming-1-1Stim-109.wav,2,69,29,inconsistent,opaque,1880,523,3.274157849,6,,
1,醣,phsl,behavioral_naming-1-1Stim-110.wav,2,70,30,consistent,opaque,88,594,1.944482672,4,,
1,凜,phsh,behavioral_naming-1-1Stim-112.wav,2,72,32,consistent,transparent,41,656,1.612783857,3,,
1,矇,phsh,behavioral_naming-1-1Stim-113.wav,2,73,33,consistent,transparent,159,535,2.201397124,4,,
1,鬆,phsl,behavioral_naming-1-1Stim-114.wav,2,74,34,consistent,opaque,3625,434,3.559308011,4,,
1,謂,phsh,behavioral_naming-1-1Stim-115.wav,2,75,35,consistent,transparent,967,663,2.985426474,4,,
1,缺,plsh,behavioral_naming-1-1Stim-116.wav,2,76,36,inconsistent,transparent,22209,550,4.346529004,6,,
1,灌,plsh,behavioral_naming-1-1Stim-117.wav,2,77,37,inconsistent,transparent,1540,727,3.187520721,8,,
1,餅,plsl,behavioral_naming-1-1Stim-118.wav,2,78,38,inconsistent,opaque,3239,640,3.510410948,9,,
1,寒,plsh,behavioral_naming-1-1Stim-119.wav,2,79,39,inconsistent,transparent,2037,434,3.308991029,6,,
1,跨,phsl,behavioral_naming-1-1Stim-120.wav,2,80,40,consistent,opaque,21329,565,4.328970494,5,,
1,概,plsl,behavioral_naming-1-1Stim-121.wav,3,81,1,inconsistent,opaque,1022,818,3.009450896,4,,
1,撲,phsh,behavioral_naming-1-1Stim-122.wav,3,82,2,consistent,transparent,3915,495,3.592731766,6,,
1,檔,phsl,behavioral_naming-1-1Stim-123.wav,3,83,3,consistent,opaque,5505,773,3.740757323,5,,
1,氧,plsh,behavioral_naming-1-1Stim-124.wav,3,84,4,inconsistent,transparent,2301,680,3.361916619,11,,
1,嘰,phsl,behavioral_naming-1-1Stim-125.wav,3,85,5,consistent,opaque,49,731,1.69019608,6,,
1,喚,phsh,behavioral_naming-1-1Stim-127.wav,3,87,7,consistent,transparent,438,637,2.641474111,5,,
1,蕾,phsl,behavioral_naming-1-1Stim-128.wav,3,88,8,consistent,opaque,315,629,2.498310554,3,,
1,抵,phsh,behavioral_naming-1-1Stim-129.wav,3,89,9,consistent,transparent,38803,637,4.588865304,11,,
1,搖,phsh,behavioral_naming-1-1Stim-130.wav,3,90,10,consistent,transparent,1431,546,3.155639634,5,,
1,茗,phsl,behavioral_naming-1-1Stim-131.wav,3,91,11,consistent,opaque,20,738,1.301029996,3,,
1,糕,plsh,behavioral_naming-1-1Stim-132.wav,3,92,12,inconsistent,transparent,373,611,2.571708832,3,,
1,孕,plsl,behavioral_naming-1-1Stim-133.wav,3,93,13,inconsistent,opaque,465,511,2.667452953,4,,
1,編,plsl,behavioral_naming-1-1Stim-134.wav,3,94,14,inconsistent,opaque,6831,611,3.834484285,9,,
1,柄,phsh,behavioral_naming-1-1Stim-135.wav,3,95,15,consistent,transparent,390,645,2.591064607,3,,
1,坑,plsh,behavioral_naming-1-1Stim-136.wav,3,96,16,inconsistent,transparent,2593,765,3.413802517,8,,
1,蝸,plsl,behavioral_naming-1-1Stim-137.wav,3,97,17,inconsistent,opaque,12,976,1.079181246,11,,
1,鎚,phsh,behavioral_naming-1-1Stim-138.wav,3,98,18,consistent,transparent,51,552,1.707570176,3,,
1,錳,phsh,behavioral_naming-1-1Stim-139.wav,3,99,19,consistent,transparent,718,646,2.856124444,4,,
1,脫,plsl,behavioral_naming-1-1Stim-140.wav,3,100,20,inconsistent,opaque,3579,585,3.553761698,7,,
1,鶴,plsh,behavioral_naming-1-1Stim-142.wav,3,102,22,inconsistent,transparent,650,524,2.812913357,3,,
1,裱,phsh,behavioral_naming-1-1Stim-143.wav,3,103,23,consistent,transparent,55,673,1.740362689,4,,
1,綻,plsh,behavioral_naming-1-1Stim-144.wav,3,104,24,inconsistent,transparent,102,615,2.008600172,5,,
1,蟻,phsl,behavioral_naming-1-1Stim-146.wav,3,106,26,consistent,opaque,292,608,2.465382851,3,,
1,弒,phsl,behavioral_naming-1-1Stim-148.wav,3,108,28,consistent,opaque,18,539,1.255272505,3,,
1,棍,plsl,behavioral_naming-1-1Stim-149.wav,3,109,29,inconsistent,opaque,628,743,2.797959644,7,,
1,緝,plsl,behavioral_naming-1-1Stim-150.wav,3,110,30,inconsistent,opaque,368,759,2.565847819,6,,
1,馴,plsl,behavioral_naming-1-1Stim-151.wav,3,111,31,inconsistent,opaque,74,478,1.86923172,5,,
1,衝,plsh,behavioral_naming-1-1Stim-152.wav,3,112,32,inconsistent,transparent,3949,467,3.596487134,7,,
1,鉅,phsl,behavioral_naming-1-1Stim-153.wav,3,113,33,consistent,opaque,2346,618,3.370328008,8,,
1,搜,plsh,behavioral_naming-1-1Stim-154.wav,3,114,34,inconsistent,transparent,1203,417,3.080265627,8,,
1,鯨,plsl,behavioral_naming-1-1Stim-155.wav,3,115,35,inconsistent,opaque,837,582,2.922725458,6,,
1,損,plsl,behavioral_naming-1-1Stim-156.wav,3,116,36,inconsistent,opaque,1486,401,3.172018809,6,,
1,咳,plsl,behavioral_naming-1-1Stim-157.wav,3,117,37,inconsistent,opaque,471,483,2.673020907,11,,
1,赴,plsh,behavioral_naming-1-1Stim-158.wav,3,118,38,inconsistent,transparent,124761,514,5.096078847,5,,
1,獐,phsl,behavioral_naming-1-1Stim-159.wav,3,119,39,consistent,opaque,83,874,1.919078092,10,,
1,誤,plsl,behavioral_naming-1-1Stim-160.wav,3,120,40,inconsistent,opaque,4650,604,3.667452953,3,,
1,櫻,phsl,behavioral_naming-1-1Stim-161.wav,4,121,1,consistent,opaque,251,780,2.399673721,4,,
1,賺,plsh,behavioral_naming-1-1Stim-162.wav,4,122,2,inconsistent,transparent,7415,495,3.870111155,9,,
1,揪,plsh,behavioral_naming-1-1Stim-163.wav,4,123,3,inconsistent,transparent,192,553,2.283301229,7,,
1,戀,plsh,behavioral_naming-1-1Stim-164.wav,4,124,4,inconsistent,transparent,1813,524,3.258397804,11,,
1,隸,plsl,behavioral_naming-1-1Stim-165.wav,4,125,5,inconsistent,opaque,243,695,2.385606274,3,,
1,胖,plsh,behavioral_naming-1-1Stim-166.wav,4,126,6,inconsistent,transparent,2513,472,3.400192489,8,,
1,逞,phsl,behavioral_naming-1-1Stim-167.wav,4,127,7,consistent,opaque,438,559,2.641474111,4,,
1,倍,plsl,behavioral_naming-1-1Stim-168.wav,4,128,8,inconsistent,opaque,99099,651,4.996069272,9,,
1,颳,plsh,behavioral_naming-1-1Stim-169.wav,4,129,9,inconsistent,transparent,335,633,2.525044807,6,,
1,醃,phsl,behavioral_naming-1-1Stim-170.wav,4,130,10,consistent,opaque,210,543,2.322219295,9,,
1,禪,plsh,behavioral_naming-1-1Stim-171.wav,4,131,11,inconsistent,transparent,835,548,2.921686475,9,,
1,鷹,phsh,behavioral_naming-1-1Stim-172.wav,4,132,12,consistent,transparent,2121,738,3.326540669,3,,
1,猛,phsl,behavioral_naming-1-1Stim-173.wav,4,133,13,consistent,opaque,14154,482,4.150879191,4,,
1,仰,plsh,behavioral_naming-1-1Stim-174.wav,4,134,14,inconsistent,transparent,1809,557,3.257438567,4,,
1,餓,phsh,behavioral_naming-1-1Stim-175.wav,4,135,15,consistent,transparent,1342,592,3.127752516,8,,
1,吵,plsh,behavioral_naming-1-1Stim-176.wav,4,136,16,inconsistent,transparent,1718,456,3.235023159,10,,
1,趁,plsh,behavioral_naming-1-1Stim-177.wav,4,137,17,inconsistent,transparent,10347,472,4.014814449,7,,
1,襖,phsh,behavioral_naming-1-1Stim-178.wav,4,138,18,consistent,transparent,27,944,1.431363764,5,,
1,搓,phsh,behavioral_naming-1-1Stim-179.wav,4,139,19,consistent,transparent,765,624,2.883661435,6,,
1,裙,plsh,behavioral_naming-1-1Stim-180.wav,4,140,20,inconsistent,transparent,381,516,2.580924976,4,,
1,癱,phsl,behavioral_naming-1-1Stim-181.wav,4,141,21,consistent,opaque,204,515,2.309630167,3,,
1,豎,plsl,behavioral_naming-1-1Stim-182.wav,4,142,22,inconsistent,opaque,1091,511,3.037824751,7,,
1,陷,plsl,behavioral_naming-1-1Stim-183.wav,4,143,23,inconsistent,opaque,3990,505,3.600972896,7,,
1,譏,phsl,behavioral_naming-1-1Stim-184.wav,4,144,24,consistent,opaque,229,664,2.359835482,6,,
1,韁,phsh,behavioral_naming-1-1Stim-185.wav,4,145,25,consistent,transparent,31,725,1.491361694,5,,
1,註,phsh,behavioral_naming-1-1Stim-186.wav,4,146,26,consistent,transparent,680,550,2.832508913,10,,
1,純,plsl,behavioral_naming-1-1Stim-187.wav,4,147,27,inconsistent,opaque,9545,515,3.979775933,7,,
1,板,plsl,behavioral_naming-1-1Stim-189.wav,4,149,29,inconsistent,opaque,4495,748,3.652729696,10,,
1,淚,plsh,behavioral_naming-1-1Stim-190.wav,4,150,30,inconsistent,transparent,2682,515,3.428458774,3,,
1,踢,plsh,behavioral_naming-1-1Stim-191.wav,4,151,31,inconsistent,transparent,8240,431,3.915927212,6,,
1,燭,plsh,behavioral_naming-1-1Stim-192.wav,4,152,32,inconsistent,transparent,152,506,2.181843588,6,,
1,嵐,plsl,behavioral_naming-1-1Stim-193.wav,4,153,33,inconsistent,opaque,837,670,2.922725458,5,,
1,劇,phsl,behavioral_naming-1-1Stim-194.wav,4,154,34,consistent,opaque,10471,529,4.01998816,4,,
1,烤,phsh,behavioral_naming-1-1Stim-195.wav,4,155,35,consistent,transparent,1961,549,3.292477594,3,,
1,埋,plsh,behavioral_naming-1-1Stim-197.wav,4,157,37,inconsistent,transparent,4182,1157,3.621384028,10,,
1,剁,phsh,behavioral_naming-1-1Stim-198.wav,4,158,38,consistent,transparent,81,612,1.908485019,3,,
1,槌,phsl,behavioral_naming-1-1Stim-199.wav,4,159,39,consistent,opaque,788,659,2.896526217,3,,
1,順,plsh,behavioral_naming-1-1Stim-200.wav,4,160,40,inconsistent,transparent,8144,509,3.910837765,5,,
2,遺,plsl,behavioral_naming-2-1Stim-41.wav,1,1,1,inconsistent,opaque,1736,633,3.239549721,5,,
2,缺,plsh,behavioral_naming-2-1Stim-42.wav,1,2,2,inconsistent,transparent,22209,440,4.346529004,6,,
2,搏,plsl,behavioral_naming-2-1Stim-43.wav,1,3,3,inconsistent,opaque,1880,477,3.274157849,6,,
2,紐,phsl,behavioral_naming-2-1Stim-44.wav,1,4,4,consistent,opaque,1644,367,3.215901813,6,,
2,謂,phsh,behavioral_naming-2-1Stim-45.wav,1,5,5,consistent,transparent,967,420,2.985426474,4,,
2,輻,phsh,behavioral_naming-2-1Stim-46.wav,1,6,6,consistent,transparent,79,353,1.897627091,9,,
2,矇,phsh,behavioral_naming-2-1Stim-47.wav,1,7,7,consistent,transparent,159,393,2.201397124,4,,
2,餅,plsl,behavioral_naming-2-1Stim-48.wav,1,8,8,inconsistent,opaque,3239,525,3.510410948,9,,
2,寒,plsh,behavioral_naming-2-1Stim-49.wav,1,9,9,inconsistent,transparent,2037,376,3.308991029,6,,
2,野,plsl,behavioral_naming-2-1Stim-50.wav,1,10,10,inconsistent,opaque,3134,403,3.496098992,9,,
2,館,phsl,behavioral_naming-2-1Stim-51.wav,1,11,11,consistent,opaque,7111,542,3.851930679,8,,
2,灌,plsh,behavioral_naming-2-1Stim-52.wav,1,12,12,inconsistent,transparent,1540,503,3.187520721,8,,
2,批,phsl,behavioral_naming-2-1Stim-53.wav,1,13,13,consistent,opaque,239027,484,5.378446961,10,,
2,腋,phsh,behavioral_naming-2-1Stim-54.wav,1,14,14,consistent,transparent,405,819,2.607455023,3,,
2,遛,phsl,behavioral_naming-2-1Stim-55.wav,1,15,15,consistent,opaque,63,754,1.799340549,5,,
2,倫,phsl,behavioral_naming-2-1Stim-56.wav,1,16,16,consistent,opaque,2581,386,3.411788005,8,,
2,謝,phsl,behavioral_naming-2-1Stim-57.wav,1,17,17,consistent,opaque,8824,367,3.945665499,3,,
2,餵,phsh,behavioral_naming-2-1Stim-58.wav,1,18,18,consistent,transparent,1908,482,3.28057837,5,,
2,鬆,phsl,behavioral_naming-2-1Stim-59.wav,1,19,19,consistent,opaque,3625,381,3.559308011,4,,
2,舐,plsl,behavioral_naming-2-1Stim-60.wav,1,20,20,inconsistent,opaque,11,501,1.041392685,5,,
2,偶,plsl,behavioral_naming-2-1Stim-61.wav,1,21,21,inconsistent,opaque,2552,464,3.40688067,9,,
2,喧,phsh,behavioral_naming-2-1Stim-62.wav,1,22,22,consistent,transparent,43,388,1.633468456,5,,
2,楠,phsl,behavioral_naming-2-1Stim-63.wav,1,23,23,consistent,opaque,634,433,2.802089258,3,,
2,顱,phsl,behavioral_naming-2-1Stim-64.wav,1,24,24,consistent,opaque,760,405,2.880813592,9,,
2,廟,plsh,behavioral_naming-2-1Stim-65.wav,1,25,25,inconsistent,transparent,3207,434,3.50609896,3,,
2,淘,phsl,behavioral_naming-2-1Stim-66.wav,1,26,26,consistent,opaque,200,395,2.301029996,5,,
2,凜,phsh,behavioral_naming-2-1Stim-67.wav,1,27,27,consistent,transparent,41,638,1.612783857,3,,
2,詐,plsl,behavioral_naming-2-1Stim-68.wav,1,28,28,inconsistent,opaque,448,466,2.651278014,11,,
2,詩,plsh,behavioral_naming-2-1Stim-70.wav,1,30,30,inconsistent,transparent,6937,371,3.841171694,10,,
2,絹,phsh,behavioral_naming-2-1Stim-71.wav,1,31,31,consistent,transparent,139,447,2.1430148,6,,
2,敏,plsh,behavioral_naming-2-1Stim-72.wav,1,32,32,inconsistent,transparent,1610,472,3.206825876,10,,
2,釋,plsl,behavioral_naming-2-1Stim-73.wav,1,33,33,inconsistent,opaque,1684,383,3.226342087,7,,
2,憶,phsl,behavioral_naming-2-1Stim-74.wav,1,34,34,consistent,opaque,850,446,2.929418926,5,,
2,拌,plsh,behavioral_naming-2-1Stim-75.wav,1,35,35,inconsistent,transparent,702,433,2.846337112,8,,
2,醣,phsl,behavioral_naming-2-1Stim-77.wav,1,37,37,consistent,opaque,88,529,1.944482672,4,,
2,磷,phsl,behavioral_naming-2-1Stim-79.wav,1,39,39,consistent,opaque,1988,409,3.29841638,8,,
2,跨,phsl,behavioral_naming-2-1Stim-80.wav,1,40,40,consistent,opaque,21329,527,4.328970494,5,,
2,颳,plsh,behavioral_naming-2-1Stim-81.wav,2,41,1,inconsistent,transparent,335,774,2.525044807,6,,
2,嵐,plsl,behavioral_naming-2-1Stim-82.wav,2,42,2,inconsistent,opaque,837,831,2.922725458,5,,
2,隸,plsl,behavioral_naming-2-1Stim-83.wav,2,43,3,inconsistent,opaque,243,528,2.385606274,3,,
2,襖,phsh,behavioral_naming-2-1Stim-84.wav,2,44,4,consistent,transparent,27,798,1.431363764,5,,
2,裙,plsh,behavioral_naming-2-1Stim-85.wav,2,45,5,inconsistent,transparent,381,382,2.580924976,4,,
2,板,plsl,behavioral_naming-2-1Stim-86.wav,2,46,6,inconsistent,opaque,4495,425,3.652729696,10,,
2,逞,phsl,behavioral_naming-2-1Stim-87.wav,2,47,7,consistent,opaque,438,525,2.641474111,4,,
2,癱,phsl,behavioral_naming-2-1Stim-88.wav,2,48,8,consistent,opaque,204,465,2.309630167,3,,
2,吵,plsh,behavioral_naming-2-1Stim-89.wav,2,49,9,inconsistent,transparent,1718,410,3.235023159,10,,
2,餓,phsh,behavioral_naming-2-1Stim-90.wav,2,50,10,consistent,transparent,1342,413,3.127752516,8,,
2,烤,phsh,behavioral_naming-2-1Stim-91.wav,2,51,11,consistent,transparent,1961,444,3.292477594,3,,
2,譏,phsl,behavioral_naming-2-1Stim-92.wav,2,52,12,consistent,opaque,229,449,2.359835482,6,,
2,燭,plsh,behavioral_naming-2-1Stim-93.wav,2,53,13,inconsistent,transparent,152,423,2.181843588,6,,
2,剁,phsh,behavioral_naming-2-1Stim-94.wav,2,54,14,consistent,transparent,81,483,1.908485019,3,,
2,淚,plsh,behavioral_naming-2-1Stim-95.wav,2,55,15,inconsistent,transparent,2682,362,3.428458774,3,,
2,倍,plsl,behavioral_naming-2-1Stim-96.wav,2,56,16,inconsistent,opaque,99099,435,4.996069272,9,,
2,純,plsl,behavioral_naming-2-1Stim-97.wav,2,57,17,inconsistent,opaque,9545,414,3.979775933,7,,
2,註,phsh,behavioral_naming-2-1Stim-98.wav,2,58,18,consistent,transparent,680,408,2.832508913,10,,
2,埋,plsh,behavioral_naming-2-1Stim-99.wav,2,59,19,inconsistent,transparent,4182,417,3.621384028,10,,
2,猛,phsl,behavioral_naming-2-1Stim-101.wav,2,61,21,consistent,opaque,14154,417,4.150879191,4,,
2,戀,plsh,behavioral_naming-2-1Stim-102.wav,2,62,22,inconsistent,transparent,1813,397,3.258397804,11,,
2,櫻,phsl,behavioral_naming-2-1Stim-103.wav,2,63,23,consistent,opaque,251,428,2.399673721,4,,
2,豎,plsl,behavioral_naming-2-1Stim-104.wav,2,64,24,inconsistent,opaque,1091,391,3.037824751,7,,
2,仰,plsh,behavioral_naming-2-1Stim-105.wav,2,65,25,inconsistent,transparent,1809,399,3.257438567,4,,
2,搓,phsh,behavioral_naming-2-1Stim-106.wav,2,66,26,consistent,transparent,765,346,2.883661435,6,,
2,賺,plsh,behavioral_naming-2-1Stim-107.wav,2,67,27,inconsistent,transparent,7415,420,3.870111155,9,,
2,劇,phsl,behavioral_naming-2-1Stim-108.wav,2,68,28,consistent,opaque,10471,424,4.01998816,4,,
2,踢,plsh,behavioral_naming-2-1Stim-109.wav,2,69,29,inconsistent,transparent,8240,361,3.915927212,6,,
2,順,plsh,behavioral_naming-2-1Stim-110.wav,2,70,30,inconsistent,transparent,8144,371,3.910837765,5,,
2,禪,plsh,behavioral_naming-2-1Stim-111.wav,2,71,31,inconsistent,transparent,835,388,2.921686475,9,,
2,韁,phsh,behavioral_naming-2-1Stim-112.wav,2,72,32,consistent,transparent,31,399,1.491361694,5,,
2,槌,phsl,behavioral_naming-2-1Stim-113.wav,2,73,33,consistent,opaque,788,359,2.896526217,3,,
2,鷹,phsh,behavioral_naming-2-1Stim-115.wav,2,75,35,consistent,transparent,2121,511,3.326540669,3,,
2,揪,plsh,behavioral_naming-2-1Stim-116.wav,2,76,36,inconsistent,transparent,192,418,2.283301229,7,,
2,陷,plsl,behavioral_naming-2-1Stim-117.wav,2,77,37,inconsistent,opaque,3990,345,3.600972896,7,,
2,胖,plsh,behavioral_naming-2-1Stim-118.wav,2,78,38,inconsistent,transparent,2513,451,3.400192489,8,,
2,趁,plsh,behavioral_naming-2-1Stim-119.wav,2,79,39,inconsistent,transparent,10347,362,4.014814449,7,,
2,醃,phsl,behavioral_naming-2-1Stim-120.wav,2,80,40,consistent,opaque,210,392,2.322219295,9,,
2,攤,phsh,behavioral_naming-2-1Stim-121.wav,3,81,1,consistent,transparent,3478,610,3.541329578,3,,
2,腦,phsh,behavioral_naming-2-1Stim-122.wav,3,82,2,consistent,transparent,7703,347,3.886659898,3,,
2,灘,phsh,behavioral_naming-2-1Stim-123.wav,3,83,3,consistent,transparent,2952,376,3.470116353,3,,
2,饌,plsl,behavioral_naming-2-1Stim-124.wav,3,84,4,inconsistent,opaque,20,493,1.301029996,3,,
2,噹,phsh,behavioral_naming-2-1Stim-125.wav,3,85,5,consistent,transparent,144,445,2.158362492,5,,
2,摺,phsl,behavioral_naming-2-1Stim-126.wav,3,86,6,consistent,opaque,143,358,2.155336037,3,,
2,幅,phsh,behavioral_naming-2-1Stim-127.wav,3,87,7,consistent,transparent,25457,362,4.405807223,9,,
2,殘,plsh,behavioral_naming-2-1Stim-128.wav,3,88,8,inconsistent,transparent,1398,375,3.145507171,10,,
2,顫,plsh,behavioral_naming-2-1Stim-129.wav,3,89,9,inconsistent,transparent,118,549,2.071882007,7,,
2,誌,phsl,behavioral_naming-2-1Stim-130.wav,3,90,10,consistent,opaque,404,451,2.606381365,3,,
2,淨,plsl,behavioral_naming-2-1Stim-131.wav,3,91,11,inconsistent,opaque,9021,478,3.955254683,10,,
2,拒,phsl,behavioral_naming-2-1Stim-132.wav,3,92,12,consistent,opaque,11072,389,4.044226077,8,,
2,嫁,phsh,behavioral_naming-2-1Stim-133.wav,3,93,13,consistent,transparent,1726,472,3.237040791,3,,
