character	SemRadical_Id_Cld	sem_trans	semN
盒	182	0.062504193	15
途	126	0.052777594	70
扇	26	0.05754088	6
護	80	0.047072246	80
盆	182	0.053068667	15
判	131	0.051466801	45
滾	125	0.052204276	171
輩	88	0.050684824	27
界	51	0.044622922	21
飲	105	0.071550322	24
賴	84	0.050430931	45
醜	91	0.070998654	20
捏	127	0.081553009	221
俟	124	0.047236593	134
浪	125	0.049348642	171
擇	127	0.048052764	221
噢	9	0.075692376	224
謀	80	0.056457524	80
扶	127	0.073619557	221
炸	39	0.074488409	64
罐	62	0.08950889	5
突	184	0.063364995	17
碎	58	0.057515933	38
稿	59	0.044398749	32
幸	21	0.017339568	5
簽	185	0.054001099	54
果	33	0.052477213	136
八	155	0.05442929	11
蝶	75	0.066525918	38
敵	144	0.056066355	26
徒	24	0.045044297	21
鹿	206	0.054043294	4
奔	161	0.066820369	18
柄	33	0.057109078	136
撒	127	0.059246554	221
腎	122	0.060434886	75
尖	163	0.093574134	4
焉	39	0.046286548	64
尿	17	0.056894511	23
聘	67	0.061233566	16
割	131	0.062726278	45
墓	10	0.059750211	67
積	59	0.043944085	32
旗	123	0.03283927	8
鞋	100	0.036620615	10
核	33	0.04890987	136
忠	133	0.056212889	109
決	125	0.049210468	171
蹲	135	0.080469439	43
禍	136	0.050710888	21
密	162	0.059721336	42
幼	130	0.037338501	4
執	10	0.043055054	67
鷹	112	0.070304771	22
咦	9	0.073445494	224
扣	127	0.061257614	221
駕	108	0.059556317	25
煤	39	0.040043327	64
爹	173	0.122320793	4
砸	58	0.050464465	38
逐	126	0.053339798	70
銀	96	0.061646649	79
劃	131	0.044492941	45
爽	174	0.046766649	3
陸	129	0.052733129	46
擁	127	0.054246417	221
仗	124	0.048662259	134
盞	182	0.036555011	15
興	189	0.063387418	6
湊	125	0.054921754	171
廢	132	0.044668354	24
扯	127	0.058023532	221
腹	122	0.07255317	75
麵	115	0.026619259	3
磚	58	0.054260637	38
鈣	96	0.059521705	79
影	137	0.074596991	4
仙	124	0.050809782	134
貧	84	0.054348164	45
討	80	0.050552935	80
呼	9	0.0612494	224
預	103	0.050807894	32
仁	124	0.048702347	134
唇	9	0.051699597	224
疊	51	0.047388867	21
縮	128	0.053595059	91
閏	196	0.039232696	23
磨	58	0.050218713	38
坡	10	0.056032032	67
議	80	0.061998719	80
催	124	0.050595922	134
睜	55	0.086203461	41
傻	124	0.056232131	134
俱	124	0.059000705	134
寺	15	0.053780636	11
堵	10	0.044858916	67
奶	13	0.045833639	59
責	84	0.044883205	45
骨	109	0.023541572	4
翹	64	0.048824942	10
吊	9	0.050445904	224
災	39	0.060230137	64
渡	125	0.048437327	171
扛	127	0.082090133	221
衰	140	0.04993164	33
目	182	0.055102858	15
鏡	96	0.035872235	79
捨	127	0.044788712	221
愁	133	0.047540901	109
鼓	211	1	1
籤	185	0.052052091	54
攝	127	0.04479367	221
狀	139	0.060781385	26
晃	31	0.061552816	44
謎	80	0.049213251	80
闖	196	0.055701746	23
泥	125	0.058791847	171
漆	125	0.04670782	171
索	128	0.049366943	91
賭	84	0.055563606	45
眠	55	0.046454446	41
悲	133	0.053414329	109
黏	116	1	1
鑽	96	0.059541026	79
灑	125	0.059628105	171
刷	131	0.05832174	45
柱	33	0.055245515	136
奪	161	0.046014066	18
諳	80	0.04651203	80
嚐	9	0.054035743	224
雜	97	0.033538784	18
灌	125	0.058864929	171
拼	127	0.064184678	221
厝	8	0.027766129	7
九	149	0.044783108	7
辭	89	0.065015694	8
陽	129	0.040791076	46
彼	24	0.07098435	21
標	33	0.045685615	136
卵	134	0.050945983	9
擅	127	0.047977912	221
躍	135	0.065463311	43
施	123	0.048893684	8
啥	9	0.054305433	224
虧	192	0.031850503	6
浮	125	0.058968309	171
恰	133	0.046871051	109
剝	131	0.070609776	45
跪	135	0.057049151	43
憂	133	0.052434398	109
擔	127	0.046633791	221
縫	128	0.051187747	91
揹	127	0.077755746	221
磅	58	0.045677149	38
序	132	0.049651097	24
臻	70	0.065093175	4
猴	139	0.064005386	26
鄰	129	0.04574249	46
亡	152	0.057148734	8
誠	80	0.052715857	80
趴	135	0.068883495	43
鹹	113	0.027574548	3
釘	96	0.06219831	79
鵝	112	0.059412628	22
逝	126	0.042542083	70
澡	125	0.052173444	171
爐	39	0.053917503	64
咱	9	0.057520343	224
偶	124	0.048475687	134
器	9	0.043969714	224
警	80	0.058580351	80
虛	192	0.054864957	6
莖	191	0.054528716	88
證	80	0.052853702	80
品	9	0.051457133	224
謝	80	0.053089059	80
抄	127	0.06467483	221
劫	3	0.047969017	20
歪	35	0.046648016	10
菸	191	0.045855178	88
謹	80	0.044305474	80
沉	125	0.053776383	171
罷	186	0.059686494	13
仿	124	0.048896641	134
蝦	75	0.068195668	38
欄	33	0.048899933	136
貂	94	0.034104714	5
播	127	0.045236219	221
板	33	0.051704599	136
娘	13	0.059658973	59
癒	141	0.075586639	31
政	144	0.049113097	26
擱	127	0.069336641	221
嬸	13	0.052015059	59
贈	84	0.058345091	45
仰	124	0.053483554	134
紫	128	0.045954249	91
熬	39	0.065528923	64
澳	125	0.048538093	171
拋	127	0.058033143	221
臥	69	0.026747378	3
慣	133	0.046681259	109
裹	140	0.066044989	33
導	15	0.05946423	11
錄	96	0.047374709	79
